date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:07	8628/8628	---M--	200	added ('OK')	font/woff2	etag:W/%2221b4-49773873e8%22	https://www.the99apartments.com/_next/static/media/cf1f69a0c8aed54d-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/cf1f69a0c8aed54d-s.p.woff2	(from https://www.the99apartments.com/)
15:45:07	8668/8668	---M--	200	added ('OK')	font/woff2	etag:W/%2221dc-49773873e8%22	https://www.the99apartments.com/_next/static/media/8f91baacbcce7392-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/8f91baacbcce7392-s.p.woff2	(from https://www.the99apartments.com/)
15:45:07	8472/8472	---M--	200	added ('OK')	font/woff2	etag:W/%222118-49773873e8%22	https://www.the99apartments.com/_next/static/media/f0496e21808c976b-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/f0496e21808c976b-s.p.woff2	(from https://www.the99apartments.com/)
15:45:08	7496/7496	---M--	200	added ('OK')	font/woff2	etag:W/%221d48-49773873e8%22	https://www.the99apartments.com/_next/static/media/7108afb8b1381ad1-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/7108afb8b1381ad1-s.p.woff2	(from https://www.the99apartments.com/)
15:45:08	7896/7896	---M--	200	added ('OK')	font/woff2	etag:W/%221ed8-49773873e8%22	https://www.the99apartments.com/_next/static/media/9e82d62334b205f4-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/9e82d62334b205f4-s.p.woff2	(from https://www.the99apartments.com/)
15:45:08	7844/7844	---M--	200	added ('OK')	font/woff2	etag:W/%221ea4-49773873e8%22	https://www.the99apartments.com/_next/static/media/4c285fdca692ea22-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/4c285fdca692ea22-s.p.woff2	(from https://www.the99apartments.com/)
15:45:09	7900/7900	---M--	200	added ('OK')	font/woff2	etag:W/%221edc-49773873e8%22	https://www.the99apartments.com/_next/static/media/eafabf029ad39a43-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/eafabf029ad39a43-s.p.woff2	(from https://www.the99apartments.com/)
15:45:10	7740/7740	---M--	200	added ('OK')	font/woff2	etag:W/%221e3c-49773873e8%22	https://www.the99apartments.com/_next/static/media/8888a3826f4a3af4-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/8888a3826f4a3af4-s.p.woff2	(from https://www.the99apartments.com/)
15:45:10	7992/7992	---M--	200	added ('OK')	font/woff2	etag:W/%221f38-49773873e8%22	https://www.the99apartments.com/_next/static/media/0484562807a97172-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/0484562807a97172-s.p.woff2	(from https://www.the99apartments.com/)
15:45:10	7848/7848	---M--	200	added ('OK')	font/woff2	etag:W/%221ea8-49773873e8%22	https://www.the99apartments.com/_next/static/media/b957ea75a84b6ea7-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/b957ea75a84b6ea7-s.p.woff2	(from https://www.the99apartments.com/)
